"COD_STAZ";"COD_GRAND";"RIGHE";"DATA_MIN";"DATA_MAX";
"CA008B624";"LIT";"128914";"01-GEN-22";"15-NOV-25";
"CA011B539";"PCT";"1993201";"01-GEN-22";"15-NOV-25";
"CA011B539";"TCH";"1382";"01-GEN-22";"17-OTT-25";
"CA011B539";"TCI";"66445";"01-GEN-22";"15-NOV-25";
"CA011B539";"TCL";"1382";"01-GEN-22";"17-OTT-25";
"CA011B539";"UCH";"1382";"01-GEN-22";"17-OTT-25";
"CA011B539";"UCL";"1382";"01-GEN-22";"17-OTT-25";
"CA018B579";"PCT";"1994349";"01-GEN-22";"15-NOV-25";
"CA018B579";"TCH";"1382";"01-GEN-22";"17-OTT-25";
"CA018B579";"TCI";"66483";"01-GEN-22";"15-NOV-25";
"CA018B579";"TCL";"1382";"01-GEN-22";"17-OTT-25";
"CA018B579";"UCH";"1382";"01-GEN-22";"17-OTT-25";
"CA018B579";"UCL";"1382";"01-GEN-22";"17-OTT-25";
"CA019B607";"DVA";"199223";"01-GEN-22";"15-NOV-25";
"CA019B607";"DVM";"199249";"01-GEN-22";"15-NOV-25";
"CA019B607";"LIT";"132844";"01-GEN-22";"15-NOV-25";
"CA019B607";"LJT";"132844";"01-GEN-22";"15-NOV-25";
"CA019B607";"PCT";"1992294";"01-GEN-22";"15-NOV-25";
"CA019B607";"TCH";"1352";"01-GEN-22";"17-OTT-25";
"CA019B607";"TCI";"66427";"01-GEN-22";"15-NOV-25";
"CA019B607";"TCL";"1352";"01-GEN-22";"17-OTT-25";
"CA019B607";"UCH";"1352";"01-GEN-22";"17-OTT-25";
"CA019B607";"UCL";"1352";"01-GEN-22";"17-OTT-25";
"CA019B607";"VAH";"704";"18-OTT-23";"17-OTT-25";
"CA019B607";"VAL";"704";"18-OTT-23";"17-OTT-25";
"CA019B607";"VAM";"199249";"01-GEN-22";"15-NOV-25";
"CA019B607";"VAV";"199249";"01-GEN-22";"15-NOV-25";
"CA020B623";"LIT";"104655";"01-GEN-22";"15-NOV-25";
"CA025B623";"LIT";"132543";"01-GEN-22";"15-NOV-25";
"CA027B574";"PCT";"1992301";"01-GEN-22";"15-NOV-25";
